datasetID,projectCode,institutionCode,datasetName,projectName,samplingProtocol,datasetLink,bibilographicCitation,metadataID,preProcessingCode
NA,NRSA,EPA,NA,National Aquatic Resource Surveys; National Rivers and Streams Assessmet,https://www.monitoringresources.org/Document/Protocol/Details/3339,https://www.epa.gov/national-aquatic-resource-surveys/data-national-aquatic-resource-surveys,U.S. Environmental Protection Agency; 2016; National Aquatic Resource Surveys; National Rivers and Streams Assessment 2008 to 2009 data and metadata files Date accessed: 2022-12-08,https://www.epa.gov/national-aquatic-resource-surveys/data-national-aquatic-resource-surveys,https://github.com/rascully/Stream-Monitoring-Data-Exchange-Specifications/blob/master/DataIntegrationExample/R/DownloadAndCleanUSFSAREMPData.R
2,AIM,BLM,I_Indicators,Asssessment Inventory and Monitoring,https://www.monitoringresources.org/Document/Protocol/Details/3555,https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-natl-aim-lotic-indicators-hub/about,Bureau of Land Management; 2021; I_Indicators vector digital data; BLM National AIM Lotic Indicators ArcGIS Hub; accessed 2022-12-08,https://www.arcgis.com/sharing/rest/content/items/97e9d82469194fab88e4193ba591fb72/info/metadata/metadata.xml?format=default&output=html,https://github.com/rascully/Stream-Monitoring-Data-Exchange-Specifications/blob/master/DataIntegrationExample/R/DownloadAndCleanBLMAIMData.R
2,AIM,BLM,I_Indicators,Asssessment Inventory and Monitoring,https://www.monitoringresources.org/Document/Protocol/Details/3555,https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-natl-aim-lotic-indicators-hub/about,Bureau of Land Management; 2021; I_Indicators vector digital data; BLM National AIM Lotic Indicators ArcGIS Hub; accessed 2022-12-08,https://www.arcgis.com/sharing/rest/content/items/97e9d82469194fab88e4193ba591fb72/info/metadata/metadata.xml?format=default&output=html,https://github.com/rascully/Stream-Monitoring-Data-Exchange-Specifications/blob/master/DataIntegrationExample/R/DownloadAndCleanBLMAIMData.R
2,AIM,BLM,I_Indicators,Asssessment Inventory and Monitoring,https://www.monitoringresources.org/Document/Protocol/Details/3555,https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-natl-aim-lotic-indicators-hub/about,Bureau of Land Management; 2021; I_Indicators vector digital data; BLM National AIM Lotic Indicators ArcGIS Hub; accessed 2022-12-08,https://www.arcgis.com/sharing/rest/content/items/97e9d82469194fab88e4193ba591fb72/info/metadata/metadata.xml?format=default&output=html,https://github.com/rascully/Stream-Monitoring-Data-Exchange-Specifications/blob/master/DataIntegrationExample/R/DownloadAndCleanBLMAIMData.R
2,AIM,BLM,I_Indicators,Asssessment Inventory and Monitoring,https://www.monitoringresources.org/Document/Protocol/Details/3555,https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-natl-aim-lotic-indicators-hub/about,Bureau of Land Management; 2021; I_Indicators vector digital data; BLM National AIM Lotic Indicators ArcGIS Hub; accessed 2022-12-08,https://www.arcgis.com/sharing/rest/content/items/97e9d82469194fab88e4193ba591fb72/info/metadata/metadata.xml?format=default&output=html,https://github.com/rascully/Stream-Monitoring-Data-Exchange-Specifications/blob/master/DataIntegrationExample/R/DownloadAndCleanBLMAIMData.R
2,AIM,BLM,I_Indicators,Asssessment Inventory and Monitoring,https://www.monitoringresources.org/Document/Protocol/Details/3555,https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-natl-aim-lotic-indicators-hub/about,Bureau of Land Management; 2021; I_Indicators vector digital data; BLM National AIM Lotic Indicators ArcGIS Hub; accessed 2022-12-08,https://www.arcgis.com/sharing/rest/content/items/97e9d82469194fab88e4193ba591fb72/info/metadata/metadata.xml?format=default&output=html,https://github.com/rascully/Stream-Monitoring-Data-Exchange-Specifications/blob/master/DataIntegrationExample/R/DownloadAndCleanBLMAIMData.R
2,AIM,BLM,I_Indicators,Asssessment Inventory and Monitoring,https://www.monitoringresources.org/Document/Protocol/Details/3555,https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-natl-aim-lotic-indicators-hub/about,Bureau of Land Management; 2021; I_Indicators vector digital data; BLM National AIM Lotic Indicators ArcGIS Hub; accessed 2022-12-08,https://www.arcgis.com/sharing/rest/content/items/97e9d82469194fab88e4193ba591fb72/info/metadata/metadata.xml?format=default&output=html,https://github.com/rascully/Stream-Monitoring-Data-Exchange-Specifications/blob/master/DataIntegrationExample/R/DownloadAndCleanBLMAIMData.R
2,AIM,BLM,I_Indicators,Asssessment Inventory and Monitoring,https://www.monitoringresources.org/Document/Protocol/Details/3555,https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-natl-aim-lotic-indicators-hub/about,Bureau of Land Management; 2021; I_Indicators vector digital data; BLM National AIM Lotic Indicators ArcGIS Hub; accessed 2022-12-08,https://www.arcgis.com/sharing/rest/content/items/97e9d82469194fab88e4193ba591fb72/info/metadata/metadata.xml?format=default&output=html,https://github.com/rascully/Stream-Monitoring-Data-Exchange-Specifications/blob/master/DataIntegrationExample/R/DownloadAndCleanBLMAIMData.R
2,AIM,BLM,I_Indicators,Asssessment Inventory and Monitoring,https://www.monitoringresources.org/Document/Protocol/Details/3555,https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-natl-aim-lotic-indicators-hub/about,Bureau of Land Management; 2021; I_Indicators vector digital data; BLM National AIM Lotic Indicators ArcGIS Hub; accessed 2022-12-08,https://www.arcgis.com/sharing/rest/content/items/97e9d82469194fab88e4193ba591fb72/info/metadata/metadata.xml?format=default&output=html,https://github.com/rascully/Stream-Monitoring-Data-Exchange-Specifications/blob/master/DataIntegrationExample/R/DownloadAndCleanBLMAIMData.R
2,AIM,BLM,I_Indicators,Asssessment Inventory and Monitoring,https://www.monitoringresources.org/Document/Protocol/Details/3555,https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-natl-aim-lotic-indicators-hub/about,Bureau of Land Management; 2021; I_Indicators vector digital data; BLM National AIM Lotic Indicators ArcGIS Hub; accessed 2022-12-08,https://www.arcgis.com/sharing/rest/content/items/97e9d82469194fab88e4193ba591fb72/info/metadata/metadata.xml?format=default&output=html,https://github.com/rascully/Stream-Monitoring-Data-Exchange-Specifications/blob/master/DataIntegrationExample/R/DownloadAndCleanBLMAIMData.R
